 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Masc
Período:2023
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";65;61;311;73;580;74;78;401;162;387;124;179;401;157;137;730;745;168;618;1605;443;260;328;134;216;313;116;8866
"7 a 27 dias";35;20;94;34;158;21;32;113;60;128;41;57;127;49;50;241;290;61;273;603;151;85;111;60;89;115;32;3130
"28 a 364 dias";60;52;280;73;326;67;63;276;115;192;86;129;297;121;101;383;426;109;436;931;256;152;189;117;150;191;58;5636
"1 a 4 anos";33;30;167;52;216;38;18;154;45;108;44;61;168;58;47;226;286;62;228;532;128;90;130;54;96;105;39;3215
"5 a 9 anos";15;13;78;20;130;16;20;85;26;84;26;37;94;29;18;150;154;36;135;289;106;56;61;36;53;65;21;1853
"10 a 14 anos";24;19;91;17;134;18;16;123;49;105;35;52;115;43;29;197;221;57;172;370;120;49;100;51;66;74;26;2373
"15 a 19 anos";114;65;298;46;558;125;112;505;203;580;179;233;653;244;127;1358;819;291;845;1255;487;229;384;151;251;301;58;10471
"20 a 24 anos";191;96;596;83;997;211;190;791;347;1085;287;379;1174;466;278;2282;1399;387;1599;2407;913;416;738;270;448;646;151;18827
"25 a 29 anos";204;97;560;85;1070;150;192;819;374;1173;371;422;1235;473;282;2187;1625;400;1690;2871;1125;524;822;290;448;718;181;20388
"30 a 34 anos";213;95;530;81;1028;106;173;800;402;1095;324;409;1194;382;259;1723;1777;380;1630;3399;1098;528;866;279;432;732;202;20137
"35 a 39 anos";221;97;538;87;1021;97;187;931;504;1193;410;475;1229;411;283;2048;2231;435;1723;4496;1244;638;1094;308;470;884;245;23500
"40 a 44 anos";266;88;592;87;1098;118;232;1111;581;1307;484;656;1499;535;333;2453;2933;536;2372;5923;1666;850;1404;440;556;1067;357;29544
"45 a 49 anos";281;102;582;100;1200;117;312;1094;622;1519;500;715;1744;601;381;2739;3577;649;2766;7373;1940;1046;1584;491;701;1238;386;34360
"50 a 54 anos";355;142;705;110;1376;113;321;1166;665;1873;679;886;2150;711;438;3158;4701;783;3754;9757;2577;1478;2359;597;789;1476;427;43546
"55 a 59 anos";456;152;790;145;1601;155;356;1287;827;2188;890;1093;2744;853;560;3965;6183;1136;5390;13283;3378;2113;3460;900;977;1825;566;57273
"60 a 64 anos";501;168;939;134;1999;172;397;1551;950;2502;1029;1229;3144;1071;666;4690;7696;1415;7361;16725;4251;2640;4685;1001;1179;2263;678;71036
"65 a 69 anos";619;198;1033;174;2327;181;462;1918;1043;2786;1122;1334;3456;1114;758;5142;9283;1677;8936;20447;5014;3042;5947;1116;1340;2638;684;83791
"70 a 74 anos";584;205;1074;182;2586;181;509;2160;1190;3144;1202;1561;3628;1318;746;5472;9431;1656;9329;20962;5306;3276;6385;1203;1285;2760;725;88060
"75 a 79 anos";593;230;973;142;2365;176;493;2032;1303;3172;1216;1592;3742;1156;782;5581;9567;1452;8143;20353;5309;3032;6070;1148;1227;2723;756;85328
"80 anos e mais";1263;496;1996;272;5027;391;1279;5197;3344;8850;3181;3995;8166;2341;1680;13600;22671;3629;16618;43863;11138;6041;12644;2624;2626;5612;1890;190434
"Idade ignorada";17;8;7;1;125;-;11;56;17;1;11;15;157;1;1;150;53;38;286;280;47;20;45;13;10;54;8;1432
"Total";6110;2434;12234;1998;25922;2527;5453;22570;12829;33472;12241;15509;37117;12134;7956;58475;86068;15357;74304;177724;46697;26565;49406;11283;13409;25800;7606;803200
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
