 Mortalidade - Brasil
Óbitos p/Residênc por Faixa Etária det e Unidade da Federação
Sexo: Fem
Período:2024
"Faixa Etária det";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"0 a 6 dias";57;45;227;56;397;54;73;264;127;256;117;132;348;129;83;545;548;117;454;1121;294;218;258;106;173;241;77;6517
"7 a 27 dias";30;11;61;8;116;14;13;92;39;72;44;44;107;41;35;203;217;56;185;424;116;84;103;34;55;86;26;2316
"28 a 364 dias";48;45;164;32;287;39;46;171;104;171;54;95;227;95;59;324;341;97;350;740;190;139;138;85;147;156;54;4398
"1 a 4 anos";29;27;98;28;169;20;28;96;38;87;28;52;124;48;22;173;231;40;182;433;132;84;101;49;86;114;31;2550
"5 a 9 anos";21;6;42;15;77;8;16;52;33;59;15;23;73;25;16;111;144;31;108;323;76;58;64;32;25;68;19;1540
"10 a 14 anos";17;10;47;14;90;17;17;75;26;86;22;28;68;31;19;145;175;26;117;281;70;53;71;33;31;65;18;1652
"15 a 19 anos";27;17;106;20;168;21;29;142;58;142;45;63;153;55;25;251;293;61;227;573;170;94;135;58;60;101;29;3123
"20 a 24 anos";48;28;134;17;227;24;42;181;71;174;77;91;218;90;48;340;439;89;411;934;271;133;198;64;113;163;45;4670
"25 a 29 anos";45;29;133;34;297;23;47;203;118;261;76;110;306;102;52;466;564;113;544;1205;404;174;278;90;118;246;83;6121
"30 a 34 anos";68;36;179;34;332;28;72;273;126;309;103;148;372;113;76;617;754;155;701;1474;431;253;361;122;133;259;111;7640
"35 a 39 anos";89;44;214;43;432;37;93;378;205;482;166;186;545;199;118;877;1048;238;967;2400;627;377;557;154;222;431;132;11261
"40 a 44 anos";111;61;284;65;625;64;103;506;275;627;214;271;763;295;166;1277;1598;305;1510;3455;946;474;865;261;280;545;193;16139
"45 a 49 anos";126;69;355;63;720;68;146;586;297;778;264;400;1002;383;217;1621;1991;417;2056;4469;1085;646;1075;282;338;764;265;20483
"50 a 54 anos";196;80;399;66;819;73;146;647;325;919;384;513;1217;436;250;1902;2624;470;2627;5797;1447;839;1379;370;420;890;285;25520
"55 a 59 anos";243;99;454;71;1011;102;178;880;492;1313;537;669;1713;631;385;2414;3841;649;3754;8123;2005;1308;2170;496;542;1212;402;35694
"60 a 64 anos";281;133;613;85;1266;115;251;1210;620;1742;734;820;2318;781;435;3076;5164;847;5452;11426;2729;1748;3171;695;738;1597;497;48544
"65 a 69 anos";371;134;688;104;1675;141;326;1435;817;2032;821;1053;2804;918;501;3573;6697;1089;7000;15000;3693;2161;4196;798;908;1996;609;61540
"70 a 74 anos";416;174;807;119;1777;126;368;1725;996;2753;1024;1347;3405;1078;647;4309;7586;1331;8195;17936;4288;2637;5260;851;931;2238;753;73077
"75 a 79 anos";473;187;809;100;1920;122;360;1814;1160;3201;1293;1595;3959;1186;742;4899;8561;1291;8311;19971;4992;2922;6007;913;1005;2296;780;80869
"80 anos e mais";1211;495;2452;267;6040;426;1319;5833;4234;12206;4639;6038;12733;3378;2530;18465;31655;4924;29425;68830;15733;9451;21237;2818;2720;7005;2925;278989
"Idade ignorada";1;1;4;-;8;-;-;13;-;6;3;2;14;-;-;6;10;11;57;43;3;2;4;-;-;9;-;197
"Total";3908;1731;8270;1241;18453;1522;3673;16576;10161;27676;10660;13680;32469;10014;6426;45594;74481;12357;72633;164958;39702;23855;47628;8311;9045;20482;7334;692840
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
